pnr;canton
3179;BE
3180;VD
3181;VD
3182;VD
3183;
3184;NE
3185;Genève
3186;Genève
3188;ZH
3189;NE
3190;
3191;BS
3192;ZH
3193;ZH
3194;Genève
3195;Genève
3196;BS
3197;ZH
3198;BE
3199;ZH
3200;ZH
3201;ZH
3203;ZH
3204;ZH
3205;ZH
3206;ZH
3207;ZH
3208;ZH
3209;ZH
3210;BS
3211;ZH
3212;ZH
3213;BE
3214;BS
3215;ZH
3216;ZH
3217;BE
3218;Genève
3219;Genève
3220;VD
3221;NE
3222;BE
3223;BE
3224;Genève
3225;BS
3226;BE
3227;
3229;VD
3230;ZH
3231;ZH
3233;ZH
3234;NE
3235;Genève
3236;BE
3237;FR
3238;ZH
3239;ZH
3240;BS
3241;Genève
3242;VD
3243;BE
3244;BS
3245;ZH
3246;VD
3247;Genève
3248;BE
3249;BE
3250;BS
3251;BE
3252;ZH
3253;ZH
3254;BE
3255;ZH
3256;VD
3257;BS
3258;Genève
3259;BE
3260;VD
3261;ZH
3262;BE
3263;NE
3264;Genève
3265;NE
3266;ZH
3267;VD
3268;BS
3269;VD
3270;VD
3271;Genève
3272;BS
3273;NE
3274;BS
3275;ZH
3276;VD
3277;VD
3278;VD
3279;NE
3280;VD
3281;VD
3282;VD
3283;ZH
3284;ZH
3285;BE
3286;VD
3287;FR
3288;BE
3290;ZH
3291;ZH
3292;ZH
3294;VD
3295;Île-de-France
3296;ZH
3297;BS
3298;VD
3299;Genève
3300;NE
3301;BS
3302;ZH
3303;BS
3304;BS
3305;ZH
3306;ZH
3307;ZH
3308;ZH
3309;VD
3310;ZH
3311;ZH
3312;BS
3313;Genève
3314;VD
3315;NE
3316;BS
3317;SG
3318;VD
3319;BS
3320;BE
3321;ZH
3322;VD
3323;ZH
3324;ZH
3325;VD
3326;VD
3327;ZH
3328;BS
3329;NE
3330;BS
3331;Genève
3332;FR
3333;ZH
3334;FR
3335;ZH
3336;VD
3337;Genève
3338;Genève
3339;ZH
3340;ZH
3341;BE
3342;Genève
3343;ZH
3344;VD
3345;ZH
3346;Genève
3347;VD
3348;ZH
3349;ZH
3350;NE
3351;ZH
3352;VD
3353;Genève
3356;Genève
3357;FR
3358;BS
3359;VD
3360;ZH
3361;Genève
3362;Genève
3363;Genève
3364;Genève
3365;Genève
3366;Genève
3367;VD
3368;ZH
3369;Genève
3370;BS
